real,brigthness0,motion0,sleep0,brigthness1,motion1,sleep1,brigthness2,motion2,sleep2,brigthness3,motion3,sleep3
1,1,2,89,1,3,86,1,1,95,1,1,95
1,1,2,91,1,3,90,1,4,83,1,1,95
1,1,2,96,1,3,90,1,1,84,1,1,95
1,1,2,96,1,2,89,1,3,86,1,4,83
0,1,2,96,1,2,96,1,4,83,1,3,86
0,1,2,96,1,2,96,1,2,89,1,3,86
0,1,3,93,1,2,96,1,2,89,1,3,86
0,1,1,93,1,2,96,1,2,96,1,3,90
0,1,3,93,1,2,96,1,2,96,1,4,83
1,1,1,93,1,2,96,1,2,96,1,2,89
1,1,1,93,1,3,93,1,2,96,1,2,89
1,1,1,97,1,3,93,1,2,96,1,2,91
0,1,3,93,1,1,93,1,2,96,1,2,96
0,1,1,93,1,3,93,1,2,96,1,2,96
0,2,1,73,1,1,93,1,3,93,1,2,96
0,2,3,83,1,3,93,1,1,93,1,2,96
0,3,2,83,1,1,93,1,3,93,1,2,96
0,2,1,49,1,1,93,1,1,93,1,3,93
0,1,1,84,2,1,73,1,1,97,1,1,93
0,3,3,20,2,3,83,1,3,93,1,3,93
0,1,1,61,3,2,83,1,1,93,1,1,93

0,1,3,76,1,6,5,2,5,35,2,6,6
0,1,4,60,1,5,21,2,5,18,2,5,38
0,1,4,80,1,6,9,2,6,19,2,5,43
1,1,1,89,1,3,76,1,6,5,2,5,35
1,1,1,87,1,4,60,1,5,21,2,5,18
0,1,4,83,1,4,80,1,6,9,2,6,19
1,1,1,84,1,1,89,1,3,76,1,6,5
1,1,1,87,1,1,89,1,3,76,1,5,21
1,1,1,95,1,1,87,1,4,60,1,6,18
0,1,4,83,1,4,83,1,4,80,1,6,27
0,1,4,83,1,1,84,1,1,89,1,3,76
1,1,3,91,1,1,95,1,4,83,1,4,80
1,1,1,91,1,4,83,1,1,84,1,1,89
0,1,4,83,1,3,91,1,4,83,1,4,83
0,1,4,83,1,1,91,1,3,91,1,1,95
0,1,3,86,1,4,83,1,3,91,1,4,83
0,1,3,92,1,4,83,1,1,91,1,4,83
0,1,1,91,1,4,83,1,1,91,1,4,83
0,1,3,90,1,4,83,1,4,83,1,3,91
1,1,3,90,1,4,83,1,4,83,1,3,91
1,1,1,95,1,1,91,1,4,83,1,1,91
1,1,1,95,1,3,90,1,4,83,1,4,83
0,1,4,72,1,1,95,1,1,91,1,4,83
0,1,3,86,1,1,95,1,3,90,1,3,86
0,1,4,83,1,4,72,1,1,95,1,3,90
0,1,4,80,1,3,86,1,5,66,1,3,90
0,1,2,89,1,3,86,1,4,72,1,1,95
0,1,4,83,1,2,89,1,3,86,1,4,72
0,1,4,86,1,4,83,1,2,89,1,3,86
1,1,4,88,1,4,83,1,2,89,1,4,83
1,1,1,86,1,4,83,1,2,89,1,4,83
1,1,1,89,1,4,83,1,2,89,1,4,80
1,1,1,97,1,4,86,1,4,83,1,2,89
0,1,4,86,1,1,86,1,4,83,1,2,89
0,1,1,85,1,1,86,1,4,83,1,2,89
0,1,1,89,1,1,89,1,4,86,1,4,83
0,1,4,86,1,1,97,1,4,88,1,4,83
0,2,1,55,1,4,86,1,1,86,1,4,83
1,2,4,75,1,1,85,1,1,89,1,4,83
1,3,1,64,1,1,89,1,1,89,1,4,86
1,1,1,56,1,4,86,1,1,97,1,4,88
0,2,1,35,2,1,55,1,4,86,1,1,86
0,2,3,37,2,1,55,1,4,86,1,1,86
0,1,6,45,3,1,64,1,1,89,1,1,89

0,1,1,75,1,6,9,2,5,18,2,6,20
0,1,2,84,1,6,8,1,6,4,1,6,5
0,1,3,92,1,6,16,1,6,9,2,6,2
0,1,4,86,1,5,44,1,5,33,2,5,48
0,1,3,86,1,1,75,1,6,21,2,5,18
0,1,1,90,1,2,84,1,6,8,1,6,4
1,1,1,91,1,4,86,1,5,44,1,5,33
1,1,1,95,1,3,86,1,1,75,1,6,21
1,1,1,95,1,3,86,1,1,75,1,6,8
1,1,1,95,1,1,90,1,2,84,1,6,16
1,1,1,95,1,1,90,1,3,92,1,6,16
0,1,3,91,1,1,91,1,4,86,1,5,44
0,1,2,93,1,1,95,1,3,86,1,1,75
0,1,2,93,1,1,95,1,1,90,1,2,84
1,1,1,93,1,1,95,1,1,91,1,4,86
1,1,1,95,1,2,93,1,1,95,1,3,86
1,1,1,95,1,2,93,1,1,95,1,1,90
1,1,1,95,1,1,93,1,3,91,1,1,91
1,1,3,91,1,1,95,1,1,93,1,1,95
0,1,3,91,1,3,91,1,1,95,1,1,93
0,1,2,93,1,3,91,1,1,95,1,1,93
0,1,1,92,1,3,91,1,1,95,1,1,93
1,1,1,94,1,3,91,1,1,95,1,1,95
1,1,1,95,1,3,91,1,1,95,1,1,95
1,1,1,95,1,3,91,1,3,91,1,1,95
1,1,1,95,1,2,93,1,3,91,1,1,95
1,1,1,95,1,1,94,1,3,91,1,1,95
1,1,1,95,1,1,95,1,3,91,1,1,95
0,1,3,91,1,1,95,1,2,93,1,3,91
0,1,3,90,1,1,95,1,1,95,1,3,91
0,1,1,90,1,1,95,1,1,95,1,3,91
0,1,1,95,1,3,91,1,1,95,1,1,94
0,1,3,91,1,1,90,1,1,95,1,1,95
1,1,1,95,1,1,95,1,1,90,1,1,95
1,1,2,96,1,1,95,1,1,95,1,1,90
0,1,2,96,1,1,95,1,3,91,1,1,95
0,1,3,93,1,2,96,1,1,95,1,1,95
0,1,1,93,1,2,96,1,1,95,1,3,91
0,1,1,93,1,2,96,1,1,95,1,3,91
0,1,1,93,1,2,96,1,1,95,1,3,91
0,1,2,96,1,3,93,1,2,96,1,1,95
1,1,1,96,1,1,93,1,2,96,1,1,95
0,2,2,79,1,1,93,1,2,96,1,1,95
0,3,3,80,1,1,93,1,2,96,1,1,95
0,3,1,53,1,2,96,1,3,93,1,2,96
0,1,3,61,1,2,96,1,1,93,1,2,96
0,1,4,44,1,1,96,1,1,93,1,2,96
1,1,2,91,2,2,79,1,1,93,1,2,96
0,2,1,42,3,3,80,1,1,93,1,2,96
0,3,4,58,3,1,53,1,2,96,1,3,93
0,2,1,41,1,3,61,1,2,96,1,1,93
0,3,1,24,1,4,44,2,2,79,1,1,93
0,3,2,25,1,2,91,2,2,79,1,1,93
0,3,2,87,3,4,58,3,1,53,1,2,96

0,1,1,83,1,6,16,1,4,55,1,1,64
1,1,1,82,1,6,9,1,6,38,1,6,19
1,1,1,95,1,5,7,1,6,17,1,6,19
1,1,1,95,1,6,7,1,6,8,1,6,8
1,1,1,95,1,1,83,1,6,16,1,4,55
1,1,1,95,1,1,83,4,6,13,1,6,38
1,1,1,95,1,1,95,1,1,83,1,6,16
0,1,3,91,1,1,95,1,1,82,1,6,9
0,1,3,92,1,1,95,1,1,95,1,5,7
0,1,1,91,1,1,95,1,1,95,1,1,83
0,1,1,91,1,1,95,1,1,95,1,1,83
0,1,4,83,1,3,92,1,1,95,1,1,95
1,1,1,84,1,1,91,1,1,95,1,1,95
0,1,1,87,1,1,91,1,3,91,1,1,95
0,1,3,91,1,1,84,1,1,91,1,1,95
0,1,4,83,1,1,87,1,4,83,1,1,91
0,1,2,90,1,3,91,1,1,84,1,1,91
0,1,1,94,1,3,91,1,1,87,1,4,83
0,1,1,95,1,4,83,1,3,91,1,1,84
1,1,5,66,1,1,95,1,1,94,1,3,91
0,1,5,70,1,5,66,1,1,95,1,1,94
0,1,4,83,1,5,66,1,1,95,1,1,94
1,1,1,81,1,5,66,1,1,95,1,1,95
0,1,4,82,1,5,70,1,5,66,1,1,95
0,1,4,88,1,5,70,1,5,66,1,1,95
0,1,4,77,1,4,83,1,5,66,1,1,95
0,1,4,77,1,1,81,1,5,66,1,1,95
0,2,4,43,1,4,82,1,5,70,1,5,66
0,1,4,33,1,4,77,1,4,83,1,5,66
0,1,4,23,1,4,77,1,1,81,1,5,66
0,2,4,67,1,4,77,1,4,82,1,5,70
0,2,4,80,2,4,43,1,4,88,1,5,70
0,2,4,80,1,4,33,1,4,77,1,4,83
0,2,3,39,1,4,23,1,4,77,1,1,81

0,1,3,86,1,6,8,1,6,18,2,5,34
0,1,4,87,1,3,69,1,6,12,1,6,7
0,1,4,87,1,6,30,1,6,11,1,6,7
1,1,1,87,1,6,30,1,6,8,1,6,17
0,1,4,83,1,3,86,1,6,8,1,6,12
0,1,1,84,1,4,87,1,6,30,1,6,11
0,1,4,80,1,4,87,1,6,30,1,6,8
1,1,2,89,1,1,87,1,3,86,1,6,8
0,1,3,87,1,4,83,1,4,87,1,3,69
1,1,1,91,1,4,80,1,1,87,1,6,30
1,1,1,95,1,2,89,1,4,83,1,3,86
